water_year,month,day,calendar_year,hour,sme2_ta_C,smf1_ta_C,smg1_ta_C,smg2_ta_C,smm1_ta_C,smm2_ta_C
2010,1,29,2010,14,4.6,6.3,7.2,4.9,6.6,3.3
2010,12,11,2009,17,-2.4,-2.2,-1.3,-1.6,-1.9,-3.1
2013,6,28,2013,14,32.0,34.1,34.2,32.3,33.5,33.2
2008,4,14,2008,20,1.7,3.2,3.4,2.6,3.1,2.2
2009,6,8,2009,10,11.3,13.8,13.7,12.3,13.2,10.4
2013,6,10,2013,15,23.4,24.5,25.3,24.1,24.2,24.1
2010,2,13,2010,9,-0.4,0.7,1.5,0.2,1.2,-1.2
2013,1,10,2013,10,-10.5,-9.3,-8.7,-10.2,-8.7,-9.7
2013,3,2,2013,0,3.3,0.5,4.1,3.6,-1.1,5.1
2008,11,12,2007,22,3.2,2.2,3.3,4.1,1.4,3.9
2013,4,7,2013,12,3.0,4.6,5.1,3.5,5.4,4.0
2008,2,6,2008,13,-4.5,-2.3,-1.9,-3.5,-2.0,-4.6
2008,7,24,2008,14,27.2,29.2,29.0,27.9,28.5,26.9
2008,6,14,2008,13,20.0,22.9,22.6,21.4,22.2,20.6
2009,10,21,2008,3,0.6,2.0,2.0,1.6,1.1,-0.3
2011,2,6,2011,6,-1.3,-0.1,-0.5,-0.6,0.2,-0.9
2009,5,4,2009,2,1.6,-1.2,-1.4,1.7,-2.6,1.0
2010,9,17,2010,3,15.4,16.5,17.7,16.4,10.7,16.1
2013,11,3,2012,20,9.4,3.5,4.0,8.1,3.2,10.5
2009,9,23,2009,12,25.4,27.3,27.3,25.6,27.0,24.1
2013,10,12,2012,16,18.6,19.7,20.8,19.1,20.5,19.4
2008,11,2,2007,12,8.0,10.1,10.0,8.8,9.9,8.2
2013,6,16,2013,10,18.8,21.1,21.8,19.8,21.2,19.8
2008,2,2,2008,8,-9.9,-9.0,-9.1,-9.3,-9.2,-9.5
2013,3,22,2013,22,-9.1,-11.5,-10.6,-8.8,-10.5,-8.3
2010,7,26,2010,17,21.0,22.1,22.1,21.1,22.1,20.1
2011,2,13,2011,19,5.0,0.3,2.8,5.1,0.2,5.4
2012,12,8,2011,14,1.8,3.2,3.8,2.4,2.8,2.0
2013,11,1,2012,6,3.6,4.5,5.5,4.4,4.8,4.8
2011,12,26,2010,8,-2.4,-1.3,-1.0,-1.7,-1.0,-2.0
2009,9,2,2009,22,20.7,14.0,14.0,20.0,11.8,20.6
2009,9,16,2009,6,14.4,14.4,14.6,14.8,13.0,13.7
2008,7,29,2008,18,26.2,27.0,28.7,27.2,28.1,26.9
2009,11,27,2008,1,3.0,0.1,-0.6,2.9,-1.3,1.7
2012,7,23,2012,7,18.8,15.2,16.1,18.7,15.1,19.0
2009,2,25,2009,10,0.0,1.7,1.9,1.0,1.4,-0.9
2011,6,30,2011,21,12.9,11.6,11.9,14.0,10.9,13.6
2009,12,2,2008,7,2.0,3.2,3.4,2.8,2.4,1.0
2012,8,8,2012,12,25.2,26.6,26.9,25.6,27.0,26.2
2012,12,31,2011,9,-8.1,-7.0,-6.4,-6.6,-7.1,-7.3
2011,7,7,2011,22,17.7,11.3,11.9,17.1,10.6,18.5
2011,11,11,2010,23,-1.4,-3.8,-3.2,-1.4,-4.4,-0.7
2013,3,31,2013,13,15.8,17.6,17.9,15.8,17.7,16.8
2013,11,30,2012,10,4.4,5.9,6.6,5.2,6.4,5.5
2009,6,10,2009,22,6.7,5.7,5.9,7.0,4.1,5.9
2008,10,30,2007,12,6.9,8.5,8.6,7.4,8.9,7.3
2010,9,9,2010,22,3.8,1.6,2.1,4.1,1.1,3.8
2012,8,28,2012,5,17.6,7.6,7.9,16.1,6.5,19.2
2008,12,23,2007,16,-0.8,0.3,0.4,-0.3,0.2,-0.5
2010,4,9,2010,21,-3.0,-2.6,-1.1,-2.5,-1.4,-3.1
2008,9,17,2008,4,16.0,8.8,9.8,14.0,6.9,15.6
2011,11,23,2010,13,-13.2,-10.5,-10.7,-11.8,-11.1,-12.6
2011,10,8,2010,12,7.6,9.2,9.6,8.5,9.6,8.0
2012,5,4,2012,15,-0.7,0.8,0.9,0.1,0.9,-0.3
2013,6,17,2013,12,22.5,25.3,25.1,23.0,24.3,23.6
2008,9,22,2008,10,6.0,8.4,8.4,7.2,7.5,5.1
2012,10,31,2011,4,7.6,4.7,4.7,7.7,4.7,8.0
2010,3,7,2010,16,6.9,8.3,9.8,7.7,8.8,5.9
2011,8,4,2011,17,17.6,19.2,19.2,18.6,19.3,18.3
2013,12,31,2012,14,-3.2,-5.9,-4.4,-5.9,-5.4,-3.5
2008,8,26,2008,0,10.6,12.3,12.2,11.6,12.1,11.2
2011,11,5,2010,8,11.7,6.7,9.8,11.8,5.4,12.5
2008,7,18,2008,10,19.8,22.3,22.0,20.6,21.9,20.0
2012,7,24,2012,11,23.2,25.6,25.7,24.0,25.4,23.3
2011,4,17,2011,16,7.4,9.1,9.7,8.4,9.2,7.8
2009,4,13,2009,12,8.8,11.0,10.6,9.5,10.3,7.7
2009,7,3,2009,20,15.8,16.3,16.5,16.5,16.7,15.6
2012,3,31,2012,16,12.5,14.1,14.8,13.8,14.3,13.3
2013,6,30,2013,12,31.0,33.1,33.4,31.8,32.8,31.9
2012,3,6,2012,23,-10.5,-9.1,-8.8,-9.5,-9.0,-9.9
2008,5,24,2008,19,6.3,7.9,8.3,7.4,8.0,7.0
2009,7,29,2009,19,21.9,23.0,23.8,22.9,23.0,21.4
2009,4,7,2009,19,12.3,13.2,13.8,13.5,9.5,12.2
2009,10,6,2008,15,15.2,17.3,17.3,15.9,15.5,14.2
2009,11,16,2008,14,15.1,17.7,17.3,15.7,14.9,13.8
2012,3,2,2012,17,-2.3,-1.3,0.4,-0.9,-0.4,-1.9
2009,2,27,2009,17,-2.2,-2.3,-0.7,-2.0,-2.2,-4.1
2009,10,25,2008,21,9.7,4.7,4.5,10.5,4.8,9.1
2013,11,9,2012,21,-7.0,-7.4,-7.0,-6.5,-8.2,-6.0
2009,8,8,2009,16,15.2,17.1,17.1,15.8,16.8,14.3
2012,7,30,2012,6,16.7,11.3,10.7,16.7,10.2,16.4
2011,9,6,2011,23,19.3,19.9,19.7,19.0,20.1,20.1
2010,6,17,2010,13,9.1,11.3,11.7,9.8,11.5,8.4
